,Prob,Word
0,0.01029484,file
1,0.009783032,code
2,0.008149583,run
3,0.006598372,test
4,0.0062230523,problem
5,0.0060532186,script
6,0.0060224878,model
7,0.0055700084,server
8,0.005064428,question
9,0.0050012595,time
10,0.0047142995,build
11,0.0046547516,command
12,0.0045398343,function
13,0.004466248,case
14,0.00437487,work
15,0.0042198156,version
16,0.0040651946,implement
17,0.0040111295,solut
18,0.0038408649,step
19,0.0037389726,variabl
20,0.0036995634,answer
21,0.0036283059,document
22,0.00356313,method
23,0.003508904,result
24,0.0034879248,learn
25,0.0034835965,app
26,0.0033600533,api
27,0.003338031,train
28,0.0033115183,check
29,0.0032864204,chang
